"categories";"all_item_review_score";"100_Euro_or_more_review_score";"200_Euro_or_more_review_score"
"bed_bath_table";3.8809;3.9588;3.9803
"health_beauty";4.1232;4.1618;4.1534
"sports_leisure";4.0948;4.0748;4.0436
"furniture_decor";3.9066;3.9561;3.8419
"computers_accessories";3.931;3.9639;3.8443
"housewares";4.0408;4.0314;3.9851
"watches_gifts";4.0032;4.0473;4.0607
"telephony";3.9367;3.9179;3.9239
"garden_tools";4.0339;4.0812;4.038
"auto";4.04;4.0334;3.8247
"toys";4.141;4.2137;4.152
"cool_stuff";4.1341;4.1408;4.1388
"perfumery";4.1621;4.3004;4.2891
"baby";3.9948;3.8927;3.6287
"electronics";4.0312;4.0329;3.968
"stationery";4.1871;4.2251;4.1092
"fashion_bags_accessories";4.1393;3.9737;3.9554
"pet_shop";4.1742;4.2352;4.2418
"office_furniture";3.4881;3.5226;3.7016
"others";3.8184;3.836;4.1328
"consoles_games";4.0044;3.7399;3.7123
"luggage_accessories";4.3085;4.2812;4.3027
"construction_tools_construction";4.0465;4.018;3.9686
"home_appliances";4.1583;4.2414;4.2105
"musical_instruments";4.1353;4.1111;4.1538
"small_appliances";4.1226;4.0366;3.9667
"home_construction";3.9397;4.0291;3.8839
"books_general_interest";4.4384;4.3944;4.3333
"food";4.1587;4.3333;4.5
"furniture_living_room";3.8699;3.8641;3.5429
"home_confort";3.8345;3.9355;3.9247
"drinks";3.9868;4.1163;4.1875
"audio";3.8159;3.9863;3.9016
"market_place";4.0098;3.8974;3.4583
"construction_tools_lights";3.9735;4.08;4.1169
"air_conditioning";3.9381;3.7688;4.2031
"kitchen_dining_laundry_garden_furniture";3.9964;3.8716;4.0423
"food_drink";4.2952;4.4412;4.5
"books_technical";4.3308;4.4038;4.4
"industry_commerce_and_business";4.0606;4.15;4.1304
"fixed_telephony";3.6705;3.2364;2.8621
"fashion_shoes";4.2171;4.2037;4.8
"costruction_tools_garden";4.0422;4.2113;4.2963
"home_appliances_2";4.1164;4.0746;4.0563
"agro_industry_and_commerce";4.0;3.8504;3.7719
"art";3.9275;3.7391;4.2
"computers";4.1429;4.1436;4.1436
"signaling_and_security";4.0561;3.9315;3.5385
"construction_tools_safety";3.8299;3.783;3.9464
"christmas_supplies";3.9013;3.3684;4.25
"fashion_male_clothing";3.6183;3.619;4.0
"furniture_bedroom";4.0943;4.039;4.2059
"costruction_tools_tools";4.3592;4.2973;4.8333
"tablets_printing_image";4.0482;3.7143;1.0
"small_appliances_home_oven_and_coffee";4.2933;4.3019;4.3043
"cine_photo";4.2055;4.0556;4.0
"dvds_blu_ray";4.0313;3.375;2.0
"books_imported";4.4;4.7;5.0
"party_supplies";3.7674;3.5385;4.25
"music";4.1892;4.1333;4.3077
"furniture_mattress_and_upholstery";3.8286;3.1818;3.5
"home_comfort_2";3.3667;5.0;5.0
"fashion_sport";4.2333;3.6667;3.0
"arts_and_craftmanship";4.125;3.625;5.0
"portable_kitchen_food_processors";3.2667;4.4;4.5
"la_cuisine";3.6923;3.9167;4.0
"pc_gamer";3.3333;3.3333;3.75
